Time	Gestures Expressed	Gesture Received
12:21 AM	Polite	Polite
12:30 AM	Interested	Polite
01:00 AM	Loving	Loving
02:20 AM	Working	Working
07:00 AM	Working	Working
08:00 AM	Friendly	Friendly
08:10 AM	Friendly	Friendly
09:00 AM	Working	Interested
09:05 AM	Friendly	Friendly
09:35 AM	Friendly	Friendly
09:37 AM	Friendly	Uninterested
09:43 AM	Interested	Friendly
10:01 AM	Working	Interested
11:03 AM	Friendly	Polite
11:07 AM	Friendly	Polite
11:25 AM	Friendly	Friendly
11:30 AM	Friendly	Polite
11:47 AM	Friendly	Polite
11:55 AM	Polite	Uninterested
12:07 PM	Polite	Friendly
12:15 PM	Polite	Friendly
12:16 PM	Polite	Polite
12:22 PM	Polite	Friendly
12:30 PM	Polite	Polite
12:32 PM	Polite	Friendly
12:34 PM	Polite	Friendly
12:37 PM	Polite	Polite
12:41 PM	Polite	Friendly
12:45 PM	Polite	Polite
12:55 PM	Polite	Polite
01:00 PM	Polite	Polite
01:05 PM	Polite	Friendly
01:07 PM	Polite	Polite
01:08 PM	Friendly	Friendly
01:09 PM	Polite	Polite
01:13 PM	Friendly	Friendly
01:15 PM	Interested	Polite
07:13 PM	Interested	Polite
07:15 PM	Interested	Friendly
07:45 PM	Friendly	Polite
07:47 PM	Interested	Friendly
07:58 PM	Friendly	Friendly
08:43 PM	Friendly	Friendly
08:55 PM	Friendly	Friendly
10:01 PM	Working	Polite
10:03 PM	Interested	Friendly
10:24 PM	Interested	Polite
10:30 PM	Friendly	Friendly